,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
227,"226,226,""","Hendricks County"","" IN""""","18063""""",19,689926,"Unreliable"""
228,"227,227,""","Johnson County"","" IN""""","18081""""",15,639297,"Unreliable"""
229,"228,228,""","Knox County"","" IN""""","18083""""",12,145967,"Unreliable"""
230,"229,229,""","Lake County"","" IN""""","18089""""",85,1955998,"4.3"""
231,"230,230,""","La Porte County"","" IN""""","18091""""",16,441948,"Unreliable"""
232,"231,231,""","Madison County"","" IN""""","18095""""",24,519673,"4.6"""
233,"232,232,""","Marion County"","" IN""""","18097""""",216,3856537,"5.6"""
234,"233,233,""","Marshall County"","" IN""""","18099""""",15,184735,"Unreliable"""
235,"234,234,""","Monroe County"","" IN""""","18105""""",13,583442,"Unreliable"""
236,"235,235,""","Noble County"","" IN""""","18113""""",11,190335,"Unreliable"""
237,"236,236,""","St. Joseph County"","" IN""""","18141""""",56,1086293,"5.2"""
238,"237,237,""","Tippecanoe County"","" IN""""","18157""""",37,771971,"4.8"""
239,"238,238,""","Vanderburgh County"","" IN""""","18163""""",42,724859,"5.8"""
240,"239,239,""","Vigo County"","" IN""""","18167""""",20,427026,"4.7"""
241,"240,240,""","Black Hawk County"","" IA""""","19013""""",22,524790,"4.2"""
242,"241,241,""","Dubuque County"","" IA""""","19061""""",11,390473,"Unreliable"""
243,"242,242,""","Johnson County"","" IA""""","19103""""",16,610888,"Unreliable"""
244,"243,243,""","Linn County"","" IA""""","19113""""",21,909408,"2.3"""
245,"244,244,""","Polk County"","" IA""""","19153""""",78,1968490,"4.0"""
246,"245,245,""","Pottawattamie County"","" IA""""","19155""""",16,373371,"Unreliable"""
247,"246,246,""","Scott County"","" IA""""","19163""""",14,693612,"Unreliable"""
248,"247,247,""","Woodbury County"","" IA""""","19193""""",20,414391,"4.8"""
249,"248,248,""","Geary County"","" KS""""","20061""""",16,132416,"Unreliable"""
250,"249,249,""","Johnson County"","" KS""""","20091""""",54,2420395,"2.2"""
251,"250,250,""","Sedgwick County"","" KS""""","20173""""",88,2073384,"4.2"""
252,"251,251,""","Shawnee County"","" KS""""","20177""""",37,708637,"5.2"""
253,"252,252,""","Wyandotte County"","" KS""""","20209""""",45,663064,"6.8"""
254,"253,253,""","Boone County"","" KY""""","21015""""",15,537922,"Unreliable"""
255,"254,254,""","Christian County"","" KY""""","21047""""",16,285967,"Unreliable"""
256,"255,255,""","Daviess County"","" KY""""","21059""""",15,407656,"Unreliable"""
257,"256,256,""","Fayette County"","" KY""""","21067""""",44,1293460,"3.4"""
258,"257,257,""","Floyd County"","" KY""""","21071""""",12,141682,"Unreliable"""
259,"258,258,""","Hardin County"","" KY""""","21093""""",11,444230,"Unreliable"""
260,"259,259,""","Jefferson County"","" KY""""","21111""""",116,3082600,"3.8"""
261,"260,260,""","Kenton County"","" KY""""","21117""""",27,670493,"4.0"""
262,"261,261,""","Logan County"","" KY""""","21141""""",11,109278,"Unreliable"""
263,"262,262,""","McCracken County"","" KY""""","21145""""",11,263862,"Unreliable"""
264,"263,263,""","Madison County"","" KY""""","21151""""",11,374286,"Unreliable"""
265,"264,264,""","Warren County"","" KY""""","21227""""",17,535882,"Unreliable"""
266,"265,265,""","Acadia Parish"","" LA""""","22001""""",13,243441,"Unreliable"""
267,"266,266,""","Ascension Parish"","" LA""""","22005""""",21,508310,"4.1"""
268,"267,267,""","Bossier Parish"","" LA""""","22015""""",25,510643,"4.9"""
269,"268,268,""","Caddo Parish"","" LA""""","22017""""",96,953697,"10.1"""
270,"269,269,""","Calcasieu Parish"","" LA""""","22019""""",25,815140,"3.1"""
271,"270,270,""","East Baton Rouge Parish"","" LA""""","22033""""",140,1774045,"7.9"""
272,"271,271,""","Iberia Parish"","" LA""""","22045""""",14,278737,"Unreliable"""
273,"272,272,""","Jefferson Parish"","" LA""""","22051""""",62,1732578,"3.6"""
274,"273,273,""","Lafayette Parish"","" LA""""","22055""""",39,977895,"4.0"""
275,"274,274,""","Lafourche Parish"","" LA""""","22057""""",22,390829,"5.6"""
276,"275,275,""","Livingston Parish"","" LA""""","22063""""",23,569923,"4.0"""
277,"276,276,""","Orleans Parish"","" LA""""","22071""""",66,1547597,"4.3"""
278,"277,277,""","Ouachita Parish"","" LA""""","22073""""",47,618961,"7.6"""
279,"278,278,""","Rapides Parish"","" LA""""","22079""""",19,517431,"Unreliable"""
280,"279,279,""","St. Charles Parish"","" LA""""","22089""""",12,211248,"Unreliable"""
281,"280,280,""","St. Landry Parish"","" LA""""","22097""""",14,328399,"Unreliable"""
282,"281,281,""","St. Mary Parish"","" LA""""","22101""""",16,195684,"Unreliable"""
283,"282,282,""","St. Tammany Parish"","" LA""""","22103""""",25,1051364,"2.4"""
284,"283,283,""","Tangipahoa Parish"","" LA""""","22105""""",31,540517,"5.7"""
285,"284,284,""","Terrebonne Parish"","" LA""""","22109""""",23,440049,"5.2"""
286,"285,285,""","Vernon Parish"","" LA""""","22115""""",12,192210,"Unreliable"""
287,"286,286,""","Androscoggin County"","" ME""""","23001""""",17,435537,"Unreliable"""
288,"287,287,""","Cumberland County"","" ME""""","23005""""",23,1191902,"1.9"""
289,"288,288,""","Kennebec County"","" ME""""","23011""""",20,491826,"4.1"""
290,"289,289,""","Penobscot County"","" ME""""","23019""""",13,607664,"Unreliable"""
291,"290,290,""","York County"","" ME""""","23031""""",26,837527,"3.1"""
292,"291,291,""","Allegany County"","" MD""""","24001""""",10,279177,"Unreliable"""
293,"292,292,""","Anne Arundel County"","" MD""""","24003""""",66,2328378,"2.8"""
294,"293,293,""","Baltimore County"","" MD""""","24005""""",162,3331134,"4.9"""
295,"294,294,""","Carroll County"","" MD""""","24013""""",14,679841,"Unreliable"""
296,"295,295,""","Cecil County"","" MD""""","24015""""",19,413005,"Unreliable"""
297,"296,296,""","Charles County"","" MD""""","24017""""",31,657894,"4.7"""
298,"297,297,""","Frederick County"","" MD""""","24021""""",34,1060191,"3.2"""
299,"298,298,""","Harford County"","" MD""""","24025""""",37,1029179,"3.6"""
300,"299,299,""","Howard County"","" MD""""","24027""""",54,1311615,"4.1"""
301,"300,300,""","Montgomery County"","" MD""""","24031""""",144,4209898,"3.4"""
302,"301,301,""","Prince George's County"","" MD""""","24033""""",196,3683553,"5.3"""
303,"302,302,""","St. Mary's County"","" MD""""","24037""""",19,455329,"Unreliable"""
304,"303,303,""","Washington County"","" MD""""","24043""""",19,608058,"Unreliable"""
305,"304,304,""","Wicomico County"","" MD""""","24045""""",21,414774,"5.1"""
306,"305,305,""","Baltimore city"","" MD""""","24510""""",169,2358614,"7.2"""
307,"306,306,""","Berkshire County"","" MA""""","25003""""",15,504520,"Unreliable"""
308,"307,307,""","Bristol County"","" MA""""","25005""""",69,2276168,"3.0"""
309,"308,308,""","Essex County"","" MA""""","25009""""",82,3178009,"2.6"""
310,"309,309,""","Hampden County"","" MA""""","25013""""",66,1863482,"3.5"""
311,"310,310,""","Hampshire County"","" MA""""","25015""""",11,645158,"Unreliable"""
312,"311,311,""","Middlesex County"","" MA""""","25017""""",118,6450534,"1.8"""
313,"312,312,""","Norfolk County"","" MA""""","25021""""",47,2846077,"1.7"""
314,"313,313,""","Plymouth County"","" MA""""","25023""""",45,2096075,"2.1"""
315,"314,314,""","Suffolk County"","" MA""""","25025""""",97,3183986,"3.0"""
316,"315,315,""","Worcester County"","" MA""""","25027""""",90,3352702,"2.7"""
317,"316,316,""","Allegan County"","" MI""""","26005""""",16,475285,"Unreliable"""
318,"317,317,""","Barry County"","" MI""""","26015""""",11,247760,"Unreliable"""
319,"318,318,""","Berrien County"","" MI""""","26021""""",31,613668,"5.1"""
320,"319,319,""","Calhoun County"","" MI""""","26025""""",21,536045,"3.9"""
321,"320,320,""","Eaton County"","" MI""""","26045""""",11,439186,"Unreliable"""
322,"321,321,""","Genesee County"","" MI""""","26049""""",59,1621707,"3.6"""
323,"322,322,""","Ingham County"","" MI""""","26065""""",42,1159784,"3.6"""
324,"323,323,""","Isabella County"","" MI""""","26073""""",11,274751,"Unreliable"""
325,"324,324,""","Jackson County"","" MI""""","26075""""",26,634303,"4.1"""
326,"325,325,""","Kalamazoo County"","" MI""""","26077""""",33,1057032,"3.1"""
327,"326,326,""","Kent County"","" MI""""","26081""""",100,2627495,"3.8"""
328,"327,327,""","Lapeer County"","" MI""""","26087""""",11,351783,"Unreliable"""
329,"328,328,""","Livingston County"","" MI""""","26093""""",11,770568,"Unreliable"""
330,"329,329,""","Macomb County"","" MI""""","26099""""",126,3496314,"3.6"""
331,"330,330,""","Monroe County"","" MI""""","26115""""",20,606781,"3.3"""
332,"331,331,""","Muskegon County"","" MI""""","26121""""",26,697548,"3.7"""
333,"332,332,""","Oakland County"","" MI""""","26125""""",175,5040261,"3.5"""
334,"333,333,""","Ottawa County"","" MI""""","26139""""",29,1176116,"2.5"""
335,"334,334,""","Saginaw County"","" MI""""","26145""""",42,760798,"5.5"""
336,"335,335,""","St. Clair County"","" MI""""","26147""""",19,637811,"Unreliable"""
337,"336,336,""","Washtenaw County"","" MI""""","26161""""",46,1474427,"3.1"""
338,"337,337,""","Wayne County"","" MI""""","26163""""",513,7018675,"7.3"""
339,"338,338,""","Anoka County"","" MN""""","27003""""",36,1437673,"2.5"""
